sample,TCGA-OL-A66H-01,TCGA-3C-AALK-01,TCGA-AR-A1AH-01,TCGA-AC-A5EH-01,TCGA-EW-A2FW-01,TCGA-E9-A1R0-01,TCGA-BH-A0BL-01,TCGA-AR-A1AJ-01,TCGA-A7-A13G-01,TCGA-AC-A62Y-01,TCGA-E9-A1QZ-01,TCGA-E9-A1R2-01,TCGA-GM-A2DK-01,TCGA-AR-A255-01,TCGA-E2-A15T-01,TCGA-AO-A1KQ-01,TCGA-E9-A1N4-11,TCGA-C8-A1HL-01,TCGA-D8-A1JD-01,TCGA-D8-A1XA-01,TCGA-E9-A5FL-01,TCGA-BH-A1F2-11,TCGA-A7-A3RF-01,TCGA-A7-A3IY-01,TCGA-GM-A2D9-01,TCGA-D8-A3Z5-01,TCGA-E9-A1ND-01,TCGA-EW-A1P5-01,TCGA-E9-A1RD-01,TCGA-AR-A250-01,TCGA-E2-A153-11,TCGA-AR-A1AQ-01,TCGA-LD-A66U-01,TCGA-BH-A1EN-01,TCGA-AO-A1KO-01,TCGA-BH-A0AU-11,TCGA-E9-A1N5-01,TCGA-D8-A1J8-01,TCGA-BH-A0DL-11,TCGA-E9-A3QA-01,TCGA-BH-A18J-11,TCGA-BH-A2L8-01,TCGA-A2-A3XX-01,TCGA-AC-A2FB-01,TCGA-E9-A3X8-01,TCGA-GM-A2DC-01,TCGA-AR-A24N-01,TCGA-E2-A1B0-01,TCGA-EW-A1IW-01,TCGA-EW-A6S9-01,TCGA-E9-A1N3-01,TCGA-GM-A2DN-01,TCGA-BH-A0BQ-11,TCGA-BH-A0DO-11,TCGA-A2-A3XT-01,TCGA-A7-A4SE-01,TCGA-BH-A0DT-01,TCGA-AC-A6IV-01,TCGA-Z7-A8R5-01,TCGA-AR-A2LJ-01,TCGA-AQ-A1H3-01,TCGA-B6-A1KI-01,TCGA-BH-A1EW-01,TCGA-BH-A1FG-01,TCGA-AR-A0TS-01,TCGA-AR-A1AT-01,TCGA-A2-A1G1-01,TCGA-BH-A18R-01,TCGA-D8-A27P-01,TCGA-EW-A2FS-01,TCGA-E2-A1IL-01,TCGA-A7-A3IZ-01,TCGA-E2-A570-01,TCGA-OL-A66J-01,TCGA-AR-A2LO-01,TCGA-BH-A1FC-11,TCGA-A2-A04W-01,TCGA-BH-A201-01,TCGA-LL-A5YM-01
MIMAT0027487,0.2381,,0.5737,0.2333,,,,,,,,,0.1505,,,,,,,,,,0.2774,0.4279,,,,,,,,,,,0.4149,,,,,0.2659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0027486,,,,,0.3669315014,0.3739,,,,0.2016,,,,,0.587248285006,,,,,0.5006,,,,,0.1523,,,,,,,0.9345,,0.5956,0.4149,,,0.4225,0.3067,,1.0661,,,0.15,,,,0.5754,,,,,,,,,,,,,,,,,,0.686655700265,0.467,,,,,,,,0.182060066004,,0.3481,0.449038988359,0.382059810045
MIMAT0027485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0027484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0027489,,,,,,,,,,,,,,,,,,0.5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1389
MIMAT0027488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4969,,,,,,,,,,,,,,0.2097,,,,,,,,,,,,,,,,,,,,,,,0.1536,,,,,,,,,,
MIMAT0027551,,,,,0.1951,,0.4029999999999999,,,0.2016,0.3672,,,,,,,0.5552,0.2861,,,,0.2774,,,,,,,,1.1641,,,,,,,,,,,,,0.15,,,,,,,,,,0.5284,,,,,,,,,,,,,,,,,,,,,,,0.3481,,
MIMAT0027550,0.2381,,,0.2333,,,0.4029999999999999,,,,,,,,,,,,,,,,0.2774,,,,,,,,,,,,,,0.5216,,,,,,,,0.1377,0.2097,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1206,,,,,,
MIMAT0027553,,,,,,,,,,,,,,0.1888,,,,1.26796762157,0.7295081562729999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2103,,,0.8490000000000001,,,0.4087,,,,,,,,,,,,,,,0.3642,,0.2318,0.2694,0.0939,,0.3481,0.3142,0.1389
MIMAT0027552,,,,,,,,,,,,,,0.1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0027555,,,,,0.1951,0.3739,,,0.2937,,0.3672,,,,0.3233,,,,,,,,,,,,0.5772,0.9386,,,,,,,,0.6512,,,,,,,,,,,1.0002,,,,0.2182,,0.8490000000000001,,,,,,,,,0.3834,,,,,,,,,,,,,,,,,
MIMAT0027554,0.2381,0.2117,,,,,,,,,,,,,,,0.1721,,,0.8715,,,,,,,,,,,,,,,,,,,0.5594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0027557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2551,,,,,,,,,
MIMAT0027556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAT0000765,2.67423458225,1.9431406492400003,2.43160569242,0.908891364978,3.2973342059099995,4.94872507761,5.465344844470001,4.9276211773,4.31944957574,3.74910327799,4.68039016552,3.93832885946,5.669630898080001,3.73348806888,2.52918412259,3.5722584847000003,4.05179310497,4.84267923248,3.82389490009,2.11046217798,5.20280183008,5.222030075909999,2.44672137542,3.103805411,1.96131437656,4.66969142508,2.97946942445,2.48107633248,2.02466590112,2.5129567711500003,4.35345254512,4.67823326474,2.53070468555,5.1806184474300006,7.10116478097,6.020069550590001,2.91315352565,3.02591273705,4.554549365390001,1.3890499854299998,4.70899672787,3.76210301466,2.85105815659,3.887943172980001,2.29429169662,3.94414791832,2.93892375868,2.67606070935,3.77357774261,1.06951687468,2.67541407255,3.39056285075,5.87503328809,5.540875090499999,2.22494281834,2.3014938859200003,4.08333316382,3.38788916048,3.2567187963200004,3.20540781431,6.37610823629,3.1058859837299995,4.872414930530001,2.26630654775,3.88290108855,3.42670083986,2.75128808091,3.59221636964,4.2458625479,2.92173966867,3.70731140733,3.01234886854,3.21423843428,5.56074961796,3.9372080015800006,5.34909554018,1.5411791245200002,3.98592434414,4.32930866172
MIMAT0000764,5.82790059097,4.86478444068,5.897214143049999,4.59505051346,6.56256433916,4.5717186668,5.33320678336,6.005498461729999,5.63057618926,6.48815952294,6.82444006047,6.08191628659,4.25822537409,5.3369778747800005,4.74799148813,6.244370191460001,5.95880200599,6.16748861821,4.58692204933,6.355424245040001,5.574825887819999,5.69638047111,4.84655578437,6.29183919203,3.98224599197,6.02513088477,6.35182015854,6.47567143494,2.83555978482,6.024521899959999,4.6193342192,6.581411033949999,3.56337367382,5.42329097043,5.14260900965,5.72565142743,5.31331595767,5.13021842582,5.13359416632,5.15419940487,6.12730831602,4.07588542887,4.962997515580001,6.07925995734,3.67980587444,5.087837674469999,5.93112922693,5.6010509249,5.03082682022,4.36595060272,6.05113861521,4.15913029941,3.03753583865,5.60782969447,5.869377801390001,5.599378499019999,5.875663542150001,4.96109041846,6.06859984278,3.97940588058,5.92074557403,6.020538846719999,5.614384520850001,5.46563595491,6.37366693964,5.9099666844000005,5.74801986265,6.350275491790001,4.073704836919999,5.61972820222,5.088634932890001,3.90071188438,5.69781331021,6.16257829793,3.83897612072,4.98470013622,4.73619348446,6.854739406240001,5.80168678964
MIMAT0000761,4.18786111189,3.51515627987,4.4909778404,3.43687048852,4.35037855629,2.18595752915,5.33323268153,5.24763381289,5.37210242153,4.36759910205,4.37239686805,4.74392941837,2.59836742408,4.83478157907,3.98368561564,5.591275295190001,4.11649544666,4.91178352366,4.27991521524,4.8265484362,4.874407257790001,2.97862323125,5.07235972797,5.32266779306,2.96167073368,4.4235521790300005,4.93145085922,5.36917616637,2.94909499737,4.59552655757,3.91303927749,6.53963955369,2.72717495356,5.27883327672,5.16957146127,3.633429755,4.58991698411,4.11529327339,3.60067924139,4.95206289955,4.12148075609,2.66823733428,5.82384619651,3.3509219108,2.00144069568,3.59784810036,5.248306063919999,4.5870095784,3.66686632636,3.91896075819,5.60513283784,2.87275092668,3.7886740247800006,3.7424209046300008,5.07636240253,5.756230369809999,4.697227583409999,3.5033653193400003,3.91449695097,2.66231714631,4.27505033814,4.26771004805,5.504863621549999,3.39608181727,6.28787184919,4.2695398118400005,6.49271967924,4.5796628549900005,2.65062069224,4.10851115419,4.4571052792,3.69107182289,3.81510792818,5.063609291830001,2.25229138798,2.82078085559,3.95080736766,5.06555275175,5.01941726436
MIMAT0000760,3.64195813365,3.4117930498799995,5.214792565390001,3.87683640568,5.2934584861300005,3.26002697525,5.054185700340001,5.40487315744,6.67137274572,4.03951631513,4.38252553305,6.150091281799999,4.80939760605,5.997790126830001,5.664894160269999,6.565282421880001,4.41955058526,5.58312387572,5.4947267682000005,6.57840412223,3.88255033802,3.29191208682,6.39399415489,6.9290566579,3.25868304766,3.31936734802,5.83490855959,6.53390442449,3.1285840434400005,4.95683548225,3.2760050886000003,5.93404040112,2.2185139831900003,5.864073487969999,4.98454518356,3.98487638154,5.03533770101,6.2385968835500005,3.97123024164,6.419555819789999,3.82010252049,3.62424584134,4.8490703078,4.51113400919,2.94656255486,4.21112700831,6.28577484207,4.64466679986,5.114406059569999,4.4819555917,5.83709384225,4.65788167058,4.15588415585,4.11808957222,5.77575087492,3.3460740795,5.35840722688,3.28103156984,2.82241068283,4.13756275464,5.386925354380001,5.19421015274,4.94129270697,4.3258093652,6.689985103730001,5.909952633169999,6.69785841135,5.64343434101,3.3520416022099995,6.522382962590001,5.57064144214,4.6573942965,3.91846125463,4.23756953882,2.59496280854,3.67737487405,5.810575489330001,4.8142037140400005,4.30736747965
